ID,FInitial,LastName,Section,Units,AveTime,GPA
1005,J,Bryant,02,10,21.390581031,1.93
1026,E,Fisher,02,18,10.385308124,2.19
1045,R,Turner,02,19,48.425179264,2.23
1063,T,Howard,01,9,18.255278189,3.3
1071,J,Tucker,01,14,49.721761565,2.42
1082,T,Morgan,02,12,15.3488136,2.42
1096,T,Harper,02,19,49.990400978,2.45
1108,A,Brown,02,11,24.306030777,2.48
1120,J,Baker,02,16,44.498456577,2.5
1181,L,Ruiz,02,12,19.908945126,2.5
1189,J,Harper,01,14,27.249059201,2.51
1239,M,Wagner,01,9,24.233338045,2.55
1267,D,Lane,01,12,31.785767735,2.59
1282,S,Torres,02,10,17.413324154,2.64
1328,D,Wells,02,19,12.002264591,2.67
1352,K,Mitchell,02,16,4.7906067561,2.68
1388,C,Walker,02,16,20.279470459,2.7
1411,R,Morris,01,10,12.370293153,2.7
1413,C,Payne,02,14,24.229032956,2.71
1424,M,Baker,01,14,29.851805119,2.71
1443,S,Simpson,02,9,20.467548316,2.72
1510,T,Brooks,02,14,8.8885565004,2.8
1520,C,Torres,01,9,22.299047252,2.81
1601,G,Adams,02,15,5.085977919,2.81
1613,D,Bryant,02,9,4.5898817929,2.82
1653,L,Thompson,02,19,31.1315157,2.84
1659,J,Perry,02,17,8.4516333493,2.84
1704,A,Dunn,02,15,3.3175003935,2.85
1727,J,Ramirez,02,10,2.8472939012,2.88
1755,P,Martinez,01,12,16.627646601,2.9
1756,J,Patterson,02,14,36.365025029,2.91
1757,J,Reyes,02,12,41.019458738,2.92
1772,A,Turner,02,11,37.463102496,2.92
1776,M,Cooper,02,10,8.5294795351,2.93
1786,A,Olson,01,19,60.021982197,2.94
1796,M,Nichols,01,15,24.720711891,2.95
1798,K,Mason,02,9,1.6773111828,2.95
1799,G,Henderson,01,18,59.72139501,2.96
1808,A,Alexander,02,13,20.547689328,3.01
1835,C,Murray,02,12,17.226190607,3.01
1850,J,Torres,01,18,69.00683073,3.04
1852,M,Sanders,02,15,3.9261741973,3.05
1855,T,Jones,01,16,28.929329027,3.06
1865,T,Wagner,02,16,13.166932239,3.06
1894,M,Simmons,02,10,20.860589175,3.06
1901,D,Hughes,02,15,52.544007681,3.07
1942,K,Carter,02,16,4.9004919827,3.1
1957,J,Lee,01,18,37.876407504,3.11
1979,A,Carter,02,13,18.610723322,3.12
2004,D,Miller,01,18,28.644956242,3.12
2006,E,Wilson,02,17,42.82401318,3.12
2013,K,Wallace,01,13,37.612901035,3.12
2038,S,Stewart,02,16,37.338836434,3.13
2109,M,Hayes,01,14,48.591982042,3.14
2146,M,Black,01,13,39.56205571,3.18
2149,R,Green,02,11,27.081398786,3.19
2153,J,Porter,02,13,22.894039881,3.19
2170,T,Marshall,01,17,27.893015488,3.22
2200,M,Warren,02,19,52.654466141,3.22
2238,A,Owens,01,16,24.531744156,3.23
2251,D,Sanders,01,19,59.835155992,3.23
2260,T,Ruiz,02,12,32.055948867,3.24
2269,K,Robertson,02,13,32.036184231,3.26
2316,S,Olson,02,16,23.811339916,3.27
2318,G,Hamilton,01,19,34.303662008,3.28
2321,J,Jones,01,18,19.696766656,3.28
2328,S,Owens,01,16,51.411920484,3.31
2358,T,Alexander,02,10,11.785183433,3.31
2383,P,Walker,01,9,34.079962811,3.33
2385,S,Berry,01,14,31.083639886,3.33
2436,M,Carter,01,19,38.247811963,2.8
2444,D,Grant,01,11,25.047224926,3.34
2457,J,Williams,02,17,7.8876386163,3.34
2501,T,Moore,01,14,26.396111095,3.35
2504,E,Kennedy,01,15,24.444920667,3.37
2507,T,Sullivan,01,10,37.327588941,3.37
2521,T,Shaw,01,12,5.5632382075,3.38
2570,S,Grant,01,10,14.921429542,3.39
2579,M,Davis,01,15,25.358032026,3.41
2609,W,Adams,02,15,56.336952944,3.42
2619,J,Griffin,01,10,13.018143369,3.44
2632,T,Knight,02,10,19.588361279,3.45
2639,D,Alexander,01,13,24.921452217,3.46
2641,M,Martin,02,14,25.110369511,3.46
2696,J,Collins,01,16,33.806961575,3.47
2728,G,Freeman,01,17,50.46272839,3.47
2733,B,Evans,02,13,12.005397888,3.48
2740,K,Reed,02,15,12.358981396,3.49
2758,L,James,02,18,29.070915687,3.5
2762,A,Willis,02,11,26.177798087,3.51
2844,R,Hart,02,10,6.1911710828,3.53
2883,D,Cole,02,13,36.725504088,3.56
2890,T,Palmer,01,10,36.817211599,3.57
2902,J,Hill,01,15,7.2112900099,3.9
2924,S,Simmons,01,16,27.052841019,3.6
2943,S,Owens,01,18,0.7728619225,3.6
3002,S,Bailey,01,13,19.278471168,3.6
3015,K,Gonzales,02,9,16.093957774,3.61
3017,C,Morris,01,17,29.648794292,3.61
3037,A,Graham,02,15,5.1160903811,3.62
3084,S,Brown,01,10,26.350516148,3.65
3100,K,Henry,02,13,35.843446457,3.65
3101,C,Sullivan,01,12,35.87757337,3.67
3108,P,Reynolds,02,19,49.327610313,3.67
3118,A,West,02,19,55.420380192,3.67
3121,R,Gardner,02,16,15.14303435,3.68
3138,M,Washington,01,9,5.2945599962,3.69
3157,A,Mcdonald,01,15,49.437782499,2.61
3175,J,Stephens,01,11,35.968454523,3.71
3185,E,Flores,01,12,12.572328149,3.71
3196,A,Hughes,01,12,18.950603911,3.71
3202,T,Grant,02,13,37.10198831,3.72
3274,K,Tucker,01,15,25.103794392,3.75
3292,J,Lewis,02,12,21.534614111,3.79
3337,S,Cole,02,17,8.3688054273,3.82
3340,J,Edwards,01,9,18.396564215,3.87
3382,T,Davis,01,14,36.602812293,3.89
3407,K,Scott,01,16,14.613950139,3.9
3438,J,Johnson,02,10,17.801115958,3.9
3478,R,Rice,02,16,44.442488768,3.91
3480,J,Martin,01,10,33.335270812,3.93
3491,J,Ellis,01,11,19.10912146,3.94
